Код_громади,Рік,Всього_туристо_діб
UA26020010000096556,2019,53
UA26020010000096556,2020,109
UA26020010000096556,2021,164
UA26020010000096556,2022,159
UA26020010000096556,2023,573
UA26020010000096556,2024,585
UA26020010000096556,2025,45
UA26020030000088465,2019,1820
UA26020030000088465,2020,3316
UA26020030000088465,2021,2866
UA26020030000088465,2022,4932
UA26020030000088465,2023,7329
UA26020030000088465,2024,9793
UA26020030000088465,2025,4058
UA26020050000098694,2021,5733
UA26020050000098694,2022,1350
UA26020050000098694,2023,4321
UA26020050000098694,2024,3602
UA26020050000098694,2025,900
UA26040030000091528,2019,1604
UA26040030000091528,2020,635
UA26040030000091528,2021,990
UA26040030000091528,2022,2470
UA26040030000091528,2023,5676
UA26040030000091528,2024,6251
UA26040030000091528,2025,2062
UA26040050000080752,2024,2
UA26040070000065724,2019,186
UA26040070000065724,2020,0
UA26040070000065724,2021,0
UA26040070000065724,2022,199
UA26040070000065724,2023,380
UA26040070000065724,2024,1091
UA26040070000065724,2025,215
UA26040090000025932,2019,36
UA26040090000025932,2020,146
UA26040090000025932,2021,735
UA26040090000025932,2022,393
UA26040090000025932,2023,900
UA26040090000025932,2024,2138
UA26040090000025932,2025,1534
UA26040110000023512,2019,6
UA26040190000081578,2019,35106
UA26040190000081578,2020,45282
UA26040190000081578,2021,62472
UA26040190000081578,2022,102804
UA26040190000081578,2023,97621
UA26040190000081578,2024,105150
UA26040190000081578,2025,35547
UA26040210000094444,2024,124
UA26040210000094444,2025,94
UA26040270000047749,2019,674
UA26040270000047749,2020,539
UA26040270000047749,2021,968
UA26040270000047749,2022,911
UA26040270000047749,2023,1214
UA26040270000047749,2024,1293
UA26040270000047749,2025,473
UA26040290000025886,2019,1620
UA26040290000025886,2020,1015
UA26040290000025886,2021,1370
UA26040290000025886,2022,2475
UA26040290000025886,2023,2062
UA26040290000025886,2024,1960
UA26040290000025886,2025,385
UA26040330000019235,2019,364
UA26040330000019235,2020,478
UA26040330000019235,2021,316
UA26040330000019235,2022,452
UA26040330000019235,2023,127
UA26040330000019235,2024,389
UA26040330000019235,2025,173
UA26040370000057019,2019,1065
UA26040370000057019,2020,969
UA26040370000057019,2021,490
UA26040370000057019,2022,1466
UA26040370000057019,2023,865
UA26040370000057019,2024,684
UA26040370000057019,2025,358
UA26040390000023006,2024,2114
UA26040390000023006,2025,782
UA26060010000037638,2019,131
UA26060010000037638,2020,0
UA26060010000037638,2021,0
UA26060010000037638,2022,1170
UA26060010000037638,2023,744
UA26060010000037638,2024,420
UA26060010000037638,2025,187
UA26060070000011203,2019,3153
UA26060070000011203,2020,599
UA26060070000011203,2021,5828
UA26060070000011203,2022,5436
UA26060070000011203,2023,5828
UA26060070000011203,2024,3506
UA26060070000011203,2025,611
UA26060110000025739,2019,22
UA26060110000025739,2020,20
UA26060130000047466,2019,1768
UA26060130000047466,2020,1363
UA26060130000047466,2021,2426
UA26060130000047466,2022,1968
UA26060130000047466,2023,1929
UA26060130000047466,2024,2969
UA26060130000047466,2025,1057
UA26060170000091466,2019,528
UA26060170000091466,2020,315
UA26060170000091466,2021,466
UA26060170000091466,2022,869
UA26060170000091466,2023,1745
UA26060170000091466,2024,2458
UA26060170000091466,2025,986
UA26060210000091421,2019,613
UA26060210000091421,2020,834
UA26060210000091421,2021,1096
UA26060210000091421,2023,1764
UA26060210000091421,2024,1207
UA26060210000091421,2025,81
UA26080030000014307,2019,191
UA26080030000014307,2020,2711
UA26080030000014307,2021,621
UA26080030000014307,2022,421
UA26080030000014307,2023,707
UA26080030000014307,2024,890
UA26080030000014307,2025,578
UA26080050000081474,2019,159
UA26080050000081474,2020,293
UA26080050000081474,2021,211
UA26080050000081474,2022,271
UA26080050000081474,2023,160
UA26080050000081474,2024,157
UA26080050000081474,2025,47
UA26080070000092582,2019,2458
UA26080070000092582,2020,1985
UA26080070000092582,2021,3459
UA26080070000092582,2022,4176
UA26080070000092582,2023,4044
UA26080070000092582,2024,6002
UA26080070000092582,2025,1698
UA26080110000076323,2020,25
UA26080130000058024,2021,134
UA26080130000058024,2022,38
UA26080130000058024,2023,577
UA26080130000058024,2024,36
UA26080170000041182,2019,849
UA26080170000041182,2020,808
UA26080170000041182,2021,393
UA26080170000041182,2022,246
UA26080170000041182,2023,31
UA26080170000041182,2024,4
UA26080170000041182,2025,160
UA26080210000049380,2019,71
UA26080210000049380,2020,23
UA26080210000049380,2021,17
UA26080210000049380,2022,60
UA26080230000035462,2019,93
UA26080230000035462,2020,71
UA26080230000035462,2021,66
UA26080230000035462,2022,112
UA26080230000035462,2023,240
UA26080230000035462,2024,157
UA26080230000035462,2025,72
UA26080250000056546,2019,1154
UA26080250000056546,2021,650
UA26080250000056546,2022,94
UA26080250000056546,2023,192
UA26080250000056546,2024,318
UA26080250000056546,2025,113
UA26100010000076570,2019,5927
UA26100010000076570,2020,5295
UA26100010000076570,2021,8148
UA26100010000076570,2022,11070
UA26100010000076570,2023,10325
UA26100010000076570,2024,9844
UA26100010000076570,2025,3610
UA26100030000012148,2019,11
UA26100030000012148,2020,10
UA26100030000012148,2021,61
UA26100030000012148,2022,244
UA26100030000012148,2023,73
UA26100030000012148,2024,79
UA26100030000012148,2025,2
UA26100050000019570,2019,1248
UA26100050000019570,2020,1324
UA26100050000019570,2021,3388
UA26100050000019570,2022,4687
UA26100050000019570,2023,7885
UA26100050000019570,2024,4171
UA26100050000019570,2025,1987
UA26100090000038366,2019,97
UA26100090000038366,2020,250
UA26100090000038366,2021,466
UA26100090000038366,2022,109
UA26100090000038366,2023,215
UA26100090000038366,2024,514
UA26100090000038366,2025,245
UA26120010000096774,2019,37595
UA26120010000096774,2020,54211
UA26120010000096774,2021,88110
UA26120010000096774,2022,69815
UA26120010000096774,2023,107618
UA26120010000096774,2024,111916
UA26120010000096774,2025,34452
UA26120030000018265,2019,2072
UA26120030000018265,2020,1305
UA26120030000018265,2021,3812
UA26120030000018265,2022,1925
UA26120030000018265,2023,2453
UA26120030000018265,2024,1332
UA26120030000018265,2025,329
UA26120070000067596,2019,1247
UA26120070000067596,2020,1116
UA26120070000067596,2021,1527
UA26120070000067596,2022,887
UA26120070000067596,2023,1455
UA26120070000067596,2024,1735
UA26120070000067596,2025,1269
UA26120090000072057,2019,0
UA26120090000072057,2020,0
UA26120090000072057,2021,0
UA26120090000072057,2022,2228
UA26120090000072057,2023,4253
UA26120090000072057,2024,6952
UA26120090000072057,2025,2204
UA26120130000088448,2019,131661
UA26120130000088448,2020,283835
UA26120130000088448,2021,436802
UA26120130000088448,2022,734269
UA26120130000088448,2023,765137
UA26120130000088448,2024,781801
UA26120130000088448,2025,365516
UA26120150000021671,2019,66066
UA26120150000021671,2020,87896
UA26120150000021671,2021,127071
UA26120150000021671,2022,109387
UA26120150000021671,2023,162964
UA26120150000021671,2024,170948
UA26120150000021671,2025,58828
